x,y,z,player,worldName,worldTime
-81,66,-1,34,world,18941895
-89,66,-4,34,world,18942255
-102,66,0,34,world,18942296
-111,65,6,34,world,18942333
-123,65,6,34,world,18942370
-135,63,0,34,world,18942412
-149,64,-6,34,world,18942790
-162,67,-11,34,world,18942860
-167,67,-7,34,world,18942954
-176,67,-13,34,world,18943012
-180,65,-3,34,world,18943063
-192,64,2,34,world,18943110
-206,63,2,34,world,18943157
-219,64,2,34,world,18943205
-231,63,5,34,world,18943254
-238,65,-2,34,world,18943316
-250,71,-5,34,world,18943367
-257,70,-18,34,world,18943411
-268,67,-23,34,world,18943455
-284,66,-24,34,world,18943702
-292,69,-30,34,world,18943770
-293,68,-26,34,world,18944039
-291,64,-13,34,world,18944095
-304,64,-18,34,world,18944145
-311,68,-26,34,world,18944363
-321,70,-33,34,world,18944644
-327,73,-42,34,world,18944984
-335,72,-53,34,world,18945045
-345,70,-53,34,world,18945104
-356,64,-53,34,world,18945151
-359,63,-59,34,world,18945211
-356,65,-69,34,world,18945257
-357,63,-64,34,world,18945337
-362,66,-54,34,world,18945434
-369,64,-49,34,world,18945489
-377,66,-43,34,world,18945582
-377,65,-44,34,world,18946065
-367,65,-49,34,world,18946308
-362,68,-57,34,world,18946365
-358,67,-68,34,world,18946707
-359,67,-67,34,world,18946828
-356,66,-70,34,world,18946955
-351,65,-80,34,world,18946995
-348,58,-86,34,world,18947388
-348,56,-86,34,world,18947712
-349,64,-92,34,world,18947840
-349,64,-106,34,world,18947908
-338,68,-112,34,world,18947976
-332,67,-121,34,world,18948016
-331,65,-129,34,world,18948090
-333,62,-122,34,world,18948142
-341,65,-112,34,world,18948338
-353,62,-91,34,world,18948897
-374,62,-93,34,world,18948957
-389,62,-94,34,world,18948994
-407,62,-96,34,world,18949041
-418,62,-96,34,world,18949067
-430,62,-97,34,world,18949096
-441,62,-98,34,world,18949126
-453,62,-99,34,world,18949155
-465,62,-100,34,world,18949184
-488,62,-102,34,world,18949242
-514,62,-111,34,world,18949312
-522,62,-115,34,world,18949334
-530,62,-119,34,world,18949356
-544,62,-125,34,world,18949400
-557,62,-131,34,world,18949787
-572,62,-137,34,world,18949833
-587,62,-144,34,world,18949874
-601,62,-151,34,world,18949938
-615,62,-158,34,world,18950028
-629,62,-168,34,world,18950114
-644,62,-178,34,world,18950159
-658,62,-188,34,world,18950202
-672,62,-197,34,world,18950244
-685,62,-206,34,world,18950282
-700,62,-217,34,world,18950329
-715,62,-227,34,world,18950374
-728,62,-235,34,world,18950413
-741,62,-244,34,world,18950453
-754,62,-254,34,world,18950499
-769,62,-264,34,world,18950538
-782,62,-273,34,world,18950578
-795,62,-282,34,world,18950626
-808,62,-290,34,world,18950661
-823,62,-298,34,world,18950711
-843,62,-300,34,world,18950756
-859,62,-310,34,world,18950803
-866,64,-323,34,world,18950855
-868,64,-337,34,world,18950919
-863,64,-347,34,world,18951023
-864,63,-334,34,world,18951066
-874,64,-332,34,world,18951117
-876,65,-329,34,world,18951195
-884,64,-320,34,world,18951263
-894,64,-327,34,world,18951442
-887,65,-328,34,world,18951518
-885,64,-336,34,world,18951623
-874,65,-329,34,world,18951669
-865,64,-321,34,world,18951709
-863,62,-309,34,world,18951795
-873,62,-297,34,world,18951863
-891,62,-297,34,world,18951910
-895,62,-303,34,world,18951984
-877,62,-308,34,world,18952031
-862,62,-314,34,world,18952071
-849,62,-324,34,world,18952113
-837,62,-335,34,world,18952154
-825,62,-348,34,world,18952246
-814,62,-363,34,world,18952290
-807,62,-377,34,world,18952331
-804,62,-385,34,world,18952352
-789,62,-418,34,world,18952528
-782,62,-434,34,world,18952565
-775,62,-450,34,world,18952608
-769,62,-465,34,world,18952692
-761,62,-482,34,world,18952756
-758,62,-487,34,world,18952844
-751,62,-502,34,world,18952887
-742,62,-514,34,world,18952928
-729,62,-527,34,world,18952970
-719,62,-537,34,world,18953006
-706,62,-552,34,world,18953056
-696,62,-562,34,world,18953091
-684,62,-574,34,world,18953168
-672,62,-586,34,world,18953212
-663,62,-596,34,world,18953244
-652,62,-607,34,world,18953284
-643,62,-617,34,world,18953318
-630,62,-630,34,world,18953363
-618,62,-642,34,world,18953406
-610,62,-650,34,world,18953435
-601,62,-661,34,world,18953470
-593,62,-669,34,world,18953498
-583,62,-678,34,world,18953531
-568,62,-695,34,world,18953588
-545,62,-719,34,world,18953671
-529,62,-735,34,world,18953728
-513,62,-751,34,world,18953785
-506,62,-759,34,world,18953810
-470,62,-797,34,world,18953942
-447,62,-821,34,world,18954028
-441,62,-826,34,world,18954044
-435,62,-833,34,world,18954067
-428,62,-840,34,world,18954091
-409,62,-860,34,world,18954161
-392,62,-877,34,world,18954221
-382,62,-887,34,world,18954257
-363,62,-889,34,world,18954306
-344,62,-889,34,world,18954353
-335,63,-888,34,world,18954461
-336,63,-887,34,world,18954578
-336,67,-893,34,world,18954699
-336,69,-899,34,world,18954812
-333,65,-892,34,world,18955027
-332,65,-894,34,world,18955146
-335,69,-900,34,world,18955260
-341,72,-897,34,world,18955360
-333,66,-896,34,world,18955486
-338,71,-895,34,world,18955638
-350,69,-899,34,world,18955698
-352,56,-904,34,world,18956518
-351,47,-912,34,world,18957111
-353,39,-916,34,world,18957737
-354,39,-916,34,world,18957841
-348,36,-921,34,world,18958042
-348,34,-920,34,world,18958483
-347,34,-922,34,world,18960337
-346,34,-921,34,world,18960636
-347,34,-921,34,world,18960741
-347,34,-927,34,world,18960834
-345,32,-935,34,world,18961238
-350,32,-931,34,world,18961457
-351,32,-930,34,world,18961530
-359,25,-920,34,world,18962101
-357,21,-921,34,world,18962210
-357,20,-925,34,world,18962470
-356,20,-924,34,world,18962577
-357,21,-923,34,world,18963521
-356,22,-925,34,world,18963981
-349,20,-930,34,world,18964029
-347,21,-932,34,world,18964076
-341,21,-934,34,world,18964114
-339,20,-935,34,world,18964160
-345,21,-932,34,world,18964216
-361,20,-921,34,world,18965548
-359,22,-920,34,world,18965717
-359,21,-918,34,world,18965827
-353,22,-927,34,world,18965870
-344,20,-932,34,world,18965914
-338,20,-933,34,world,18966039
-338,32,-933,34,world,18966216
-334,30,-933,34,world,18966484
-334,20,-933,34,world,18966606
-328,20,-931,34,world,18966869
-317,18,-920,34,world,18967208
-313,18,-918,34,world,18967302
-306,17,-914,34,world,18967358
-311,19,-916,34,world,18967499
-311,19,-916,34,world,18967579
-307,18,-913,34,world,18967974
-311,19,-916,34,world,18968128
-319,19,-924,34,world,18968571
-321,18,-925,34,world,18968598
-313,18,-918,34,world,18969325
-319,19,-921,34,world,18970096
-303,17,-912,34,world,18970312
-303,12,-912,34,world,18970867
-303,9,-912,34,world,18970909
-303,13,-912,34,world,18971904
-306,17,-912,34,world,18972052
-302,16,-912,34,world,18972207
-302,15,-911,34,world,18972327
-302,15,-905,34,world,18973109
-298,16,-904,34,world,18973398
-290,18,-899,34,world,18974454
-291,22,-899,34,world,18975219
-298,20,-895,34,world,18976396
-308,23,-889,34,world,18976525
-301,23,-894,34,world,18976678
-296,18,-892,34,world,18976707
-298,21,-896,34,world,18976972
-298,22,-904,34,world,18977006
-298,21,-897,34,world,18977041
-301,17,-889,34,world,18977117
-303,18,-891,34,world,18977363
-295,15,-885,34,world,18977429
-287,13,-889,34,world,18977494
-286,13,-888,34,world,18977599
-299,16,-886,34,world,18977660
-302,19,-884,34,world,18977738
-305,19,-882,34,world,18977816
-297,19,-890,34,world,18977882
-295,16,-885,34,world,18984728
-290,14,-884,34,world,18984826
-300,18,-887,34,world,18984899
-306,19,-882,34,world,18984936
-316,13,-880,34,world,18984993
-317,12,-881,34,world,18985193
