block,x,y,z,player,worldName,time
COBBLESTONE,613,57,1121,4,world_the_end,17851881
COBBLESTONE,626,57,1114,4,world_the_end,17852113
COBBLESTONE,851,57,946,4,world_the_end,17853982
COBBLESTONE,861,57,936,4,world_the_end,17854224
COBBLESTONE,879,57,934,4,world_the_end,17854468
COBBLESTONE,893,57,928,4,world_the_end,17854764
COBBLESTONE,1520,57,508,4,world_the_end,17857840
COBBLESTONE,1520,57,488,4,world_the_end,17858080
COBBLESTONE,1519,57,326,4,world_the_end,17861737
COBBLESTONE,1539,57,203,4,world_the_end,17862359
COBBLESTONE,1549,57,193,4,world_the_end,17862587
COBBLESTONE,1939,46,-540,4,world_the_end,17870105
COBBLESTONE,1946,46,-553,4,world_the_end,17870505
COBBLESTONE,2489,57,-1236,4,world_the_end,17878653
COBBLESTONE,2496,57,-1249,4,world_the_end,17878930
COBBLESTONE,2878,57,-1675,4,world_the_end,17882421
COBBLESTONE,2889,57,-1683,4,world_the_end,17882644
COBBLESTONE,2900,57,-1692,4,world_the_end,17882916
BASALT,2910,57,-1702,4,world_the_end,17883169
BASALT,2917,57,-1715,4,world_the_end,17883413
BASALT,2925,57,-1727,4,world_the_end,17883686
BASALT,2932,57,-1740,4,world_the_end,17884014
BASALT,2940,57,-1752,4,world_the_end,17884305
BASALT,2950,57,-1762,4,world_the_end,17884675
BASALT,3879,57,-2270,4,world_the_end,17895729
COBBLESTONE,319,59,951,4,world_the_end,17939517
COBBLESTONE,1002,57,916,4,world_the_end,17945715
COBBLESTONE,1009,57,929,4,world_the_end,17945943
COBBLESTONE,1199,57,1155,4,world_the_end,17947247
COBBLESTONE,1239,59,1345,4,world_the_end,17948170
DIORITE,1052,52,950,4,world_the_end,17967321
DIORITE,1220,63,941,4,world_the_end,17968313
COBBLESTONE,2110,57,1288,4,world_the_end,17973411
COBBLESTONE,2149,57,1113,4,world_the_end,17974273
COBBLESTONE,1914,57,964,4,world_the_end,17975940
COBBLESTONE,1894,57,964,4,world_the_end,17976180
COBBLESTONE,1874,57,964,4,world_the_end,17976420
COBBLESTONE,1854,57,964,4,world_the_end,17976709
COBBLESTONE,1312,59,927,4,world_the_end,17979332
COBBLESTONE,2257,57,1711,4,world_the_end,18193616
COBBLESTONE,2257,57,1731,4,world_the_end,18193856
COBBLESTONE,2378,57,1801,4,world_the_end,18194717
COBBLESTONE,2398,57,1801,4,world_the_end,18194963
COBBLESTONE,2497,57,1781,4,world_the_end,18195531
COBBLESTONE,2698,57,1767,4,world_the_end,18197554
GRANITE,2698,57,1787,4,world_the_end,18197885
GRANITE,2720,57,1929,4,world_the_end,18199595
GRANITE,2630,57,2200,4,world_the_end,18201005
GRANITE,3314,57,2359,4,world_the_end,18209875
GRANITE,3331,58,2375,4,world_the_end,18210278
GRANITE,3331,58,2395,4,world_the_end,18210566
GRANITE,3338,61,2420,4,world_the_end,18210983
GRANITE,3348,61,2430,4,world_the_end,18211304
GRANITE,3358,61,2441,4,world_the_end,18211675
ANDESITE,4588,45,2192,4,world_the_end,18218404
GRANITE,4785,57,2218,4,world_the_end,18219595
GRANITE,4844,61,2180,4,world_the_end,18220220
GRANITE,4864,61,2180,4,world_the_end,18220649
GRANITE,5513,57,1898,4,world_the_end,18223999
END_STONE,6506,56,888,4,world_the_end,18236605
ANDESITE,6660,57,881,4,world_the_end,18237889
ANDESITE,6665,62,872,4,world_the_end,18238242
END_STONE,6691,63,863,4,world_the_end,18242452
END_STONE,7256,57,725,4,world_the_end,18245031
END_STONE,7667,61,210,4,world_the_end,18249864
END_STONE,7765,57,17,4,world_the_end,18256017
END_STONE,7775,57,7,4,world_the_end,18256245
END_STONE,7970,57,-183,4,world_the_end,18257546
END_STONE,8199,57,14,4,world_the_end,18266733
END_STONE,8199,57,34,4,world_the_end,18267132
END_STONE,7764,57,298,4,world_the_end,18279349
END_STONE,7797,57,674,4,world_the_end,18281965
END_STONE,7532,57,753,4,world_the_end,18284287
END_STONE,7208,57,1496,4,world_the_end,18290298
END_STONE,7208,57,1516,4,world_the_end,18290538
END_STONE,7187,56,1733,4,world_the_end,18293181
END_STONE,7267,57,2304,4,world_the_end,18296142
END_STONE,7124,67,2297,4,world_the_end,18300326
END_STONE,7057,74,2289,4,world_the_end,18302197
END_STONE,7057,94,2289,4,world_the_end,18302443
END_STONE,7068,127,2287,4,world_the_end,18304572
END_STONE,7068,147,2287,4,world_the_end,18304791
END_STONE,7085,64,1332,4,world_the_end,18309635
END_STONE,7085,84,1332,4,world_the_end,18309835
END_STONE,7085,104,1332,4,world_the_end,18310041
END_STONE,7085,124,1332,4,world_the_end,18310242
END_STONE,7145,72,424,4,world_the_end,18311875
END_STONE,7175,64,27,4,world_the_end,18317008
END_STONE,7175,84,27,4,world_the_end,18317206
END_STONE,7175,104,27,4,world_the_end,18317406
END_STONE,7175,124,27,4,world_the_end,18317606
END_STONE,7115,78,688,4,world_the_end,18321772
END_STONE,7115,98,688,4,world_the_end,18322040
END_STONE,7115,118,688,4,world_the_end,18322237
END_STONE,7761,72,348,4,world_the_end,18323549
