block,x,y,z,player,worldName,time
DIRT,958,58,1003,1,world_nether,3716051
DEEPSLATE_BRICKS,955,62,1004,1,world_nether,3724141
DEEPSLATE_BRICKS,955,62,1004,1,world_nether,3724085
DEEPSLATE_BRICKS,951,58,1004,1,world_nether,3726157
DEEPSLATE_TILE_STAIRS,952,60,1006,1,world_nether,3727237
CRAFTING_TABLE,955,57,1006,1,world_nether,3730701
DEEPSLATE_TILE_STAIRS,941,51,1002,1,world_nether,3731393
WALL_TORCH,942,48,996,1,world_nether,3734993
DEEPSLATE_TILE_STAIRS,941,48,994,1,world_nether,3736485
WALL_TORCH,941,49,989,1,world_nether,3746799
NETHERRACK,949,49,977,1,world_nether,3748224
NETHERRACK,949,49,972,1,world_nether,3748142
NETHERRACK,948,49,978,1,world_nether,3748810
TORCH,971,58,955,1,world_nether,3751020
TORCH,974,58,947,1,world_nether,3751085
NETHERRACK,912,49,948,1,world_nether,3756059
NETHERRACK,887,64,1049,1,world_nether,3768118
WALL_TORCH,952,56,1003,1,world_nether,3782746
TORCH,736,74,976,1,world_nether,3791619
TORCH,766,89,966,1,world_nether,3791342
WALL_TORCH,605,55,1046,1,world_nether,3793486
TORCH,943,49,984,1,world_nether,3835694
NETHERRACK,930,47,995,1,world_nether,3837943
NETHERRACK,928,46,995,1,world_nether,3838796
NETHER_BRICKS,930,47,995,1,world_nether,3839308
NETHER_BRICKS,930,47,995,1,world_nether,3839529
NETHER_BRICKS,932,48,996,1,world_nether,3840314
DEEPSLATE_TILE_STAIRS,922,41,996,1,world_nether,3842803
NETHERRACK,920,40,996,1,world_nether,3844599
DEEPSLATE_BRICKS,915,32,985,1,world_nether,3849749
DEEPSLATE_BRICKS,915,32,980,1,world_nether,3850812
DEEPSLATE_BRICKS,917,32,977,1,world_nether,3852234
DEEPSLATE_BRICKS,911,32,980,1,world_nether,3853199
DEEPSLATE_BRICKS,911,32,980,1,world_nether,3853351
NETHERRACK,917,34,980,1,world_nether,3854992
NETHER_BRICKS,914,35,977,1,world_nether,3855981
NETHERRACK,949,51,962,1,world_nether,3858600
WALL_TORCH,948,52,955,1,world_nether,3859451
NETHER_BRICKS,945,56,947,1,world_nether,3861787
NETHER_BRICKS,947,52,948,1,world_nether,3863883
NETHER_BRICKS,948,52,951,1,world_nether,3864366
NETHERRACK,948,57,949,1,world_nether,3866022
NETHERRACK,948,60,948,1,world_nether,3871398
DEEPSLATE_TILE_STAIRS,914,33,991,1,world_nether,3884021
NETHER_BRICK_STAIRS,912,34,983,1,world_nether,3885552
NETHER_BRICKS,914,35,978,1,world_nether,3885807
NETHER_BRICKS,915,32,989,1,world_nether,3887099
DEEPSLATE_TILE_STAIRS,949,50,965,1,world_nether,3890396
NETHER_BRICKS,940,53,950,1,world_nether,3899557
NETHER_BRICKS,943,54,946,1,world_nether,3901482
NETHER_BRICKS,947,53,943,1,world_nether,3902122
NETHER_BRICKS,938,52,948,1,world_nether,3904390
NETHER_BRICKS,938,52,948,1,world_nether,3904246
NETHERRACK,948,57,948,1,world_nether,3906884
DETECTOR_RAIL,939,52,948,1,world_nether,3939977
RAIL,936,53,948,1,world_nether,3940222
POWERED_RAIL,943,52,948,1,world_nether,3941810
RAIL,928,52,948,1,world_nether,3943910
RAIL,920,50,949,1,world_nether,3944974
POWERED_RAIL,917,50,948,1,world_nether,3946428
WALL_TORCH,901,51,951,1,world_nether,3947879
RAIL,904,49,947,1,world_nether,3948509
NETHERRACK,906,36,1025,1,world_nether,4729542
NETHERRACK,908,34,997,1,world_nether,4731060
DIRT,915,32,979,1,world_nether,14832888
DIRT,931,33,993,1,world_nether,14834079
