x,y,z,player,worldName,time
-9,44,-7,16,world_nether,21827010
-5,52,-4,16,world_nether,21827251
-4,62,-3,16,world_nether,21827351
-5,67,-5,16,world_nether,21827403
-3,73,-5,16,world_nether,21827458
-4,78,-3,16,world_nether,21827505
-4,82,-5,16,world_nether,21827558
-4,106,-5,16,world_nether,21827835
-2,110,-3,16,world_nether,21827889
0,111,-1,16,world_nether,21828053
-11,111,0,16,world_nether,21828101
-51,111,0,16,world_nether,21828155
-94,111,0,16,world_nether,21828207
-109,111,0,16,world_nether,21828226
-124,111,0,16,world_nether,21828243
-138,111,0,16,world_nether,21828258
-179,111,0,16,world_nether,21828302
-192,111,0,16,world_nether,21828316
-232,111,0,16,world_nether,21828359
-245,111,0,16,world_nether,21828373
-285,111,0,16,world_nether,21828417
-298,111,0,16,world_nether,21828432
-311,111,0,16,world_nether,21828447
-324,111,0,16,world_nether,21828462
-337,111,0,16,world_nether,21828478
-361,110,-1,16,world_nether,21828550
-374,110,-1,16,world_nether,21828652
-383,111,1,16,world_nether,21828710
-400,110,-1,16,world_nether,21828797
-408,110,-1,16,world_nether,21828834
-422,110,-1,16,world_nether,21828901
-453,111,-1,16,world_nether,21829044
-470,110,-1,16,world_nether,21829128
-476,110,-1,16,world_nether,21829156
-499,110,-1,16,world_nether,21829266
-545,111,7,16,world_nether,21829517
-545,111,15,16,world_nether,21829556
-546,110,36,16,world_nether,21829654
-546,110,55,16,world_nether,21829742
-546,110,74,16,world_nether,21829830
-546,110,89,16,world_nether,21829900
-546,110,105,16,world_nether,21829974
-546,110,125,16,world_nether,21830064
-546,110,144,16,world_nether,21830158
-546,110,155,16,world_nether,21830270
-545,111,129,16,world_nether,21857355
-545,111,87,16,world_nether,21857436
-545,111,66,16,world_nether,21857479
-545,111,46,16,world_nether,21857521
-545,111,36,16,world_nether,21857542
-545,111,17,16,world_nether,21857586
-545,111,7,16,world_nether,21857609
-538,111,0,16,world_nether,21857661
-528,111,0,16,world_nether,21857683
-517,111,0,16,world_nether,21857704
-486,111,0,16,world_nether,21857769
-418,111,0,16,world_nether,21858012
-406,111,0,16,world_nether,21858029
-394,111,0,16,world_nether,21858046
-382,111,0,16,world_nether,21858063
-369,111,0,16,world_nether,21858078
-356,111,0,16,world_nether,21858094
-333,111,0,16,world_nether,21858130
-321,111,0,16,world_nether,21858148
-311,111,0,16,world_nether,21858167
-241,111,0,16,world_nether,21858317
-229,111,0,16,world_nether,21858334
-219,111,0,16,world_nether,21858355
-208,111,0,16,world_nether,21858376
-189,111,0,16,world_nether,21858420
-179,111,0,16,world_nether,21858441
-168,111,0,16,world_nether,21858461
-128,111,0,16,world_nether,21858546
-117,111,0,16,world_nether,21858567
-107,111,0,16,world_nether,21858587
-81,111,11,16,world_nether,21858722
-80,110,17,16,world_nether,21861185
-81,111,9,16,world_nether,21861228
-62,111,0,16,world_nether,21861464
-31,111,0,16,world_nether,21861564
-14,111,0,16,world_nether,21861604
-1,111,0,16,world_nether,21861716
0,111,7,16,world_nether,21861749
0,111,26,16,world_nether,21861790
0,111,55,16,world_nether,21861842
0,111,67,16,world_nether,21861860
0,111,145,16,world_nether,21862146
0,111,166,16,world_nether,21862210
32,111,181,16,world_nether,21862390
42,110,180,16,world_nether,21862443
34,35,174,16,world_nether,21863204
26,35,174,16,world_nether,21863231
20,33,174,16,world_nether,21863269
14,34,175,16,world_nether,21863312
4,34,190,16,world_nether,21863437
4,34,200,16,world_nether,21863472
3,34,219,16,world_nether,21863536
3,34,229,16,world_nether,21863568
3,35,249,16,world_nether,21863644
3,39,255,16,world_nether,21863695
2,39,258,16,world_nether,21867116
3,39,252,16,world_nether,21867146
4,34,207,16,world_nether,21867321
4,34,197,16,world_nether,21867357
4,34,180,16,world_nether,21867493
4,34,170,16,world_nether,21867519
4,34,161,16,world_nether,21867544
4,34,151,16,world_nether,21867573
4,34,139,16,world_nether,21867604
4,34,128,16,world_nether,21867634
4,34,115,16,world_nether,21867665
4,34,116,16,world_nether,21867797
4,34,147,16,world_nether,21867888
4,34,167,16,world_nether,21867945
8,35,176,16,world_nether,21868019
12,33,179,16,world_nether,21868052
14,34,175,16,world_nether,21868081
19,35,174,16,world_nether,21868116
31,36,174,16,world_nether,21868165
36,34,175,16,world_nether,21868186
40,36,178,16,world_nether,21868218
