block,x,y,z,player,worldName,time
GRASS,-57,67,49,0,world,486886
ACACIA_LOG,380,70,102,0,world,493386
COAL_ORE,378,59,119,0,world,494841
IRON_ORE,389,61,121,0,world,501715
IRON_ORE,376,51,84,0,world,502811
COPPER_ORE,397,52,95,0,world,503858
OAK_LEAVES,396,68,165,0,world,509021
COAL_ORE,394,48,79,0,world,512108
IRON_ORE,398,51,44,0,world,513990
COAL_ORE,401,43,26,0,world,514498
STONE,365,35,20,0,world,518327
STONE,318,27,4,0,world,520150
IRON_ORE,363,34,26,0,world,12824957
IRON_ORE,386,40,-7,0,world,12828105
IRON_ORE,389,43,-42,0,world,12828798
STONE,393,28,-30,0,world,12829239
DEEPSLATE,379,11,-34,0,world,12830475
REDSTONE_ORE,382,11,-36,0,world,12831441
DEEPSLATE,381,11,-31,0,world,12831929
DEEPSLATE,381,11,-25,0,world,12832400
IRON_ORE,381,11,-59,0,world,12834109
MAGMA_BLOCK,393,12,-75,0,world,12836879
DEEPSLATE,419,13,-116,0,world,12838921
IRON_ORE,420,13,-104,0,world,12840176
LAPIS_ORE,396,12,-71,0,world,12841483
STONE,375,11,-43,0,world,12843128
COAL_ORE,396,17,7,0,world,12850533
