x,y,z,player,worldName,time
-77,66,5,28,world,15612541
-67,66,-1,28,world,15612586
-71,66,-15,28,world,15612644
-89,66,-24,28,world,15612719
-98,65,-21,28,world,15612755
-103,65,-16,28,world,15612784
-108,64,-7,28,world,15612836
-118,64,0,28,world,15612892
-137,63,0,28,world,15612980
-142,64,-8,28,world,15613025
-153,64,-12,28,world,15613072
-160,65,-18,28,world,15613113
-165,64,-22,28,world,15613146
-176,62,-19,28,world,15613264
-178,65,-11,28,world,15613321
-178,63,-5,28,world,15613355
-187,62,1,28,world,15613433
-202,63,1,28,world,15613487
-224,63,8,28,world,15613631
-214,65,27,28,world,15613751
-218,64,20,28,world,15613828
-221,63,6,28,world,15613988
-211,63,2,28,world,15614068
-185,63,0,28,world,15614163
-179,63,-5,28,world,15614193
-178,65,-13,28,world,15614225
-176,67,-10,28,world,15614341
-172,67,-14,28,world,15614384
-169,66,-16,28,world,15614422
-170,63,-18,28,world,15614694
-169,62,-22,28,world,15614792
-166,64,-20,28,world,15614878
-165,64,-24,28,world,15615044
-126,63,2,28,world,15615685
-112,64,4,28,world,15615736
-102,66,2,28,world,15615770
-94,66,-4,28,world,15615804
-78,66,-11,28,world,15615993
-57,65,-14,28,world,15616127
-39,64,-19,28,world,15616220
