x,y,z,player,worldName,worldTime
-86,66,-2,24,world,6984771
-123,62,-35,24,world,6985018
-76,66,-4,24,world,6984734
-107,63,-16,24,world,6984853
-123,61,-35,24,world,6985014
-151,63,-44,24,world,6985151
-77,66,-4,24,world,6984615
-97,66,-4,24,world,6984803
-126,62,-35,24,world,6985053
-151,64,-43,24,world,6985149
-132,65,-34,24,world,6985084
-156,63,-52,24,world,6985184
-142,50,-71,24,world,6985313
-70,67,-12,24,world,6984703
-106,65,-14,24,world,6984845
-147,64,-40,24,world,6985138
-147,55,-70,24,world,6985277
-146,62,-77,24,world,6985672
-136,50,-88,24,world,6985517
-144,63,-77,24,world,6985657
-139,52,-89,24,world,6985565
-145,62,-76,24,world,6985692
-131,51,-73,24,world,6985885
-143,63,-73,24,world,6986457
-128,61,-77,24,world,6985916
-140,46,-66,24,world,6985787
-141,62,-83,24,world,6986180
-138,62,-77,24,world,6986226
-131,50,-86,24,world,6986745
-126,58,-82,24,world,6986818
-137,62,-79,24,world,6986966
-136,62,-72,24,world,6987115
-132,57,-87,24,world,6987401
-137,62,-73,24,world,6987109
-126,61,-87,24,world,6987325
-135,50,-94,24,world,6987487
-141,55,-88,24,world,6987838
-144,61,-74,24,world,6987051
-142,62,-78,24,world,6986987
-128,62,-85,24,world,6987341
-141,53,-90,24,world,6987561
-126,50,-93,24,world,6987991
-132,50,-95,24,world,6987945
-118,63,-93,24,world,6988183
-119,60,-92,24,world,6988143
-141,62,-83,24,world,6988524
-146,62,-87,24,world,6988636
-133,63,-95,24,world,6988928
-136,62,-99,24,world,6988841
-141,62,-92,24,world,6989000
-120,62,-93,24,world,6988232
-130,63,-90,24,world,6988400
-139,62,-99,24,world,6988819
-137,63,-85,24,world,6988484
-136,63,-98,24,world,6988849
-145,62,-91,24,world,6989033
-147,62,-130,24,world,6989553
-138,62,-144,24,world,6989507
-169,62,-109,24,world,6989628
-192,69,-87,24,world,6989773
-198,69,-87,24,world,6989790
-133,62,-140,24,world,6989471
-152,62,-125,24,world,6989571
-181,66,-94,24,world,6989720
-194,69,-87,24,world,6989778
-220,70,-90,24,world,6990539
-216,70,-96,24,world,6990932
-206,70,-78,24,world,6991124
-223,70,-95,24,world,6990587
-197,68,-70,24,world,6991605
-202,71,-47,24,world,6992480
-202,72,-47,24,world,6992486
-204,70,-54,24,world,6991828
-201,69,-70,24,world,6993913
-189,70,-48,24,world,6993161
-189,70,-48,24,world,6993299
-203,70,-63,24,world,6993883
-200,69,-76,24,world,6993947
-197,70,-57,24,world,6993847
-201,69,-72,24,world,6993921
-208,70,-84,24,world,6994345
-194,68,-87,24,world,6994295
-188,68,-84,24,world,6994267
-204,70,-86,24,world,6994331
-214,71,-71,24,world,6994974
-213,72,-73,24,world,6995174
-212,71,-76,24,world,6994956
-207,75,-72,24,world,6995280
-211,72,-71,24,world,6995184
-215,71,-80,24,world,6994936
-197,68,-86,24,world,6995460
-186,65,-84,24,world,6995618
-207,70,-79,24,world,6995387
-198,68,-83,24,world,6996354
-202,69,-78,24,world,6997900
-198,69,-78,24,world,6998419
-199,69,-78,24,world,6998845
-79,66,1,24,world,6999043
-86,66,-12,24,world,6999155
-81,66,-12,24,world,6999142
-163,64,-71,24,world,6999562
-110,64,-15,24,world,6999231
-154,63,-51,24,world,6999487
-143,63,-41,24,world,6999442
-193,68,-86,24,world,6999706
-196,68,-75,24,world,7005686
-201,70,-74,24,world,7005714
-202,70,-70,24,world,7005751
-199,69,-78,24,world,7005386
-198,69,-78,24,world,7005638
-199,69,-71,24,world,7006531
-196,68,-74,24,world,7006491
-196,68,-73,24,world,7006489
-208,70,-77,24,world,7007695
-219,70,-90,24,world,7008112
-202,69,-75,24,world,7007635
-219,70,-86,24,world,7008323
-204,69,-75,24,world,7007673
-220,70,-82,24,world,7008338
-220,70,-91,24,world,7009199
-229,69,-92,24,world,7009155
-208,70,-85,24,world,7009435
-234,69,-86,24,world,7008983
-198,68,-78,24,world,7009659
-221,70,-87,24,world,7009325
-204,69,-82,24,world,7009787
-197,68,-83,24,world,7010014
-198,83,-83,24,world,7010963
-195,83,-92,24,world,7010589
-198,83,-87,24,world,7011244
-197,83,-89,24,world,7011712
-199,83,-87,24,world,7011164
-198,83,-88,24,world,7011706
-194,83,-89,24,world,7011508
-192,82,-96,24,world,7013658
-200,69,-82,24,world,7013881
-226,70,-76,24,world,7014052
-192,83,-92,24,world,7013628
-189,67,-89,24,world,7013786
-217,71,-78,24,world,7014017
-199,83,-89,24,world,7013436
-191,68,-99,24,world,7013673
-199,69,-82,24,world,7013889
-190,62,-99,24,world,7013709
-231,69,-74,24,world,7014074
-246,72,-72,24,world,7014982
-240,72,-68,24,world,7015648
-247,72,-66,24,world,7014786
-244,71,-76,24,world,7014999
-237,71,-79,24,world,7015455
-233,72,-57,24,world,7015731
-232,75,-53,24,world,7016239
-247,71,-56,24,world,7016395
-239,71,-57,24,world,7016365
-246,71,-57,24,world,7016407
-233,71,-77,24,world,7016722
-238,71,-57,24,world,7016365
-235,72,-56,24,world,7016079
-232,71,-79,24,world,7016712
-237,70,-63,24,world,7019927
-245,71,-55,24,world,7019978
-267,72,-30,24,world,7020206
-257,71,-29,24,world,7020164
-246,72,-54,24,world,7019982
-260,74,-34,24,world,7020322
-248,73,-41,24,world,7020450
-203,72,-47,24,world,7021024
-202,72,-51,24,world,7021041
-207,75,-26,24,world,7020739
-201,71,-65,24,world,7021080
-210,76,-28,24,world,7020937
-203,71,-48,24,world,7021030
-201,69,-82,24,world,7021336
-201,83,-90,24,world,7022017
-200,83,-90,24,world,7022011
-195,83,-90,24,world,7032356
-201,83,-90,24,world,7033205
-196,83,-90,24,world,7033101
-194,83,-87,24,world,7034298
-201,83,-89,24,world,7033806
-200,83,-88,24,world,7035121
-200,83,-89,24,world,7035290
-205,83,-92,24,world,7034611
-194,83,-89,24,world,7034892
-202,83,-90,24,world,7035037
-203,83,-89,24,world,7035317
-197,83,-90,24,world,7035455
-195,83,-90,24,world,7035463
-205,83,-90,24,world,7035886
-189,83,-90,24,world,7036041
-198,83,-85,24,world,7036867
-190,83,-91,24,world,7037281
-193,83,-89,24,world,7037088
-194,83,-89,24,world,7037756
-203,82,-90,24,world,7038462
-197,83,-87,24,world,7039184
-215,71,-73,24,world,7039786
-211,69,-63,24,world,7040069
-196,83,-87,24,world,7039301
-197,83,-88,24,world,7039524
-197,81,-87,24,world,7039546
-204,70,-83,24,world,7039709
-214,72,-65,24,world,7040021
-207,71,-82,24,world,7039719
-213,72,-69,24,world,7040007
-219,67,-60,24,world,7040566
-206,69,-69,24,world,7041579
-220,71,-78,24,world,7041654
-221,70,-78,24,world,7041662
-223,73,-67,24,world,7042010
-226,69,-68,24,world,7042233
-227,70,-64,24,world,7041939
-245,71,-66,24,world,7042313
-249,73,-73,24,world,7042341
-261,77,-80,24,world,7042665
-247,73,-84,24,world,7043310
-251,77,-86,24,world,7043011
-233,71,-80,24,world,7043623
-234,71,-80,24,world,7043619
-220,70,-87,24,world,7043818
-217,70,-88,24,world,7043832
-224,70,-84,24,world,7043745
-202,83,-89,24,world,7044082
-198,83,-88,24,world,7044083
-193,83,-88,24,world,7044491
-199,83,-87,24,world,7045206
-196,82,-90,24,world,7044179
-193,83,-90,24,world,7044586
-199,83,-89,24,world,7045119
-203,82,-90,24,world,7045488
-199,82,-90,24,world,7045302
-200,82,-90,24,world,7046208
-190,83,-90,24,world,7047117
-188,83,-92,24,world,7047351
-195,82,-90,24,world,7047322
-190,83,-90,24,world,7047630
-199,82,-90,24,world,7047298
-190,82,-90,24,world,7047124
-200,82,-90,24,world,7047556
-190,83,-88,24,world,7047770
-193,83,-87,24,world,7048283
-197,83,-85,24,world,7048032
-193,83,-88,24,world,7048282
-185,83,-91,24,world,7049770
-185,83,-89,24,world,7049834
-206,83,-90,24,world,7050157
-207,83,-89,24,world,7050245
-211,83,-91,24,world,7051148
-210,83,-91,24,world,7051143
-194,83,-88,24,world,7051489
-189,83,-92,24,world,7051755
-188,83,-92,24,world,7052248
-189,83,-88,24,world,7051472
-189,82,-90,24,world,7053054
-200,82,-90,24,world,7052767
-193,82,-90,24,world,7053106
-187,83,-89,24,world,7053620
-189,82,-90,24,world,7053718
-187,82,-90,24,world,7054487
-191,82,-90,24,world,7053741
-187,82,-90,24,world,7054528
-197,82,-90,24,world,7054988
-199,82,-90,24,world,7055747
-187,82,-90,24,world,7056005
-194,82,-90,24,world,7055365
-186,82,-90,24,world,7056036
-195,82,-90,24,world,7055818
-192,84,-92,24,world,7056465
-188,83,-90,24,world,7056898
-204,84,-92,24,world,7056376
-190,83,-92,24,world,7056753
-197,83,-88,24,world,7056549
-207,83,-89,24,world,7057079
-198,84,-92,24,world,7056396
-186,83,-92,24,world,7056686
-203,83,-88,24,world,7057650
-199,83,-87,24,world,7057635
-210,83,-89,24,world,7058237
-206,83,-88,24,world,7058194
-210,83,-92,24,world,7058437
-196,84,-92,24,world,7057783
-191,84,-92,24,world,7057855
-193,83,-88,24,world,7058004
-203,84,-88,24,world,7059218
-185,84,-92,24,world,7059412
-191,80,-97,24,world,7059608
-194,84,-88,24,world,7059345
-189,84,-88,24,world,7059364
-197,61,-112,24,world,7059683
-180,56,-118,24,world,7060614
-187,63,-120,24,world,7060577
-181,59,-120,24,world,7060602
-166,61,-125,24,world,7060857
-164,62,-124,24,world,7060872
-162,58,-125,24,world,7060883
-151,60,-161,24,world,7061253
-143,35,-154,24,world,7061180
-156,47,-162,24,world,7061480
-152,39,-168,24,world,7061519
-135,48,-187,24,world,7061699
-153,47,-183,24,world,7062020
-149,45,-148,24,world,7061101
-158,47,-138,24,world,7061005
-152,61,-162,24,world,7061257
-153,62,-163,24,world,7061267
-155,45,-164,24,world,7061494
-152,54,-156,24,world,7061402
-134,37,-182,24,world,7061671
-136,62,-191,24,world,7061832
-153,39,-185,24,world,7062055
-151,50,-183,24,world,7062010
-145,62,-181,24,world,7062733
-133,35,-178,24,world,7062205
-129,61,-179,24,world,7062450
-147,62,-181,24,world,7062723
-147,62,-177,24,world,7062600
-145,62,-191,24,world,7062809
-126,62,-175,24,world,7062334
-147,62,-175,24,world,7062571
-154,62,-182,24,world,7062893
-154,62,-164,24,world,7063005
-148,62,-155,24,world,7063109
-141,62,-161,24,world,7063248
-158,62,-169,24,world,7062966
-153,62,-184,24,world,7062881
-143,62,-161,24,world,7063238
-147,62,-169,24,world,7063609
-161,62,-133,24,world,7064049
-177,58,-133,24,world,7064222
-138,62,-181,24,world,7063384
-163,62,-151,24,world,7063759
-147,62,-148,24,world,7063921
-169,58,-129,24,world,7064172
-135,62,-174,24,world,7063343
-146,62,-172,24,world,7063595
-139,62,-182,24,world,7063527
-153,61,-162,24,world,7063673
-156,62,-137,24,world,7063995
-155,62,-139,24,world,7063985
-190,63,-120,24,world,7064419
-193,64,-118,24,world,7064430
-196,61,-111,24,world,7064882
-199,61,-113,24,world,7064904
-203,62,-126,24,world,7065034
-201,65,-101,24,world,7065305
-200,65,-97,24,world,7065188
-200,67,-97,24,world,7065289
-210,53,-123,24,world,7066160
-209,54,-122,24,world,7066154
-213,50,-144,24,world,7066391
-201,64,-103,24,world,7065997
-206,63,-110,24,world,7066094
-214,50,-132,24,world,7066309
-213,50,-148,24,world,7066451
-212,50,-152,24,world,7066495
-213,51,-151,24,world,7067119
-224,51,-153,24,world,7067022
-236,54,-146,24,world,7067602
-242,59,-151,24,world,7067656
-219,61,-141,24,world,7067807
-216,62,-135,24,world,7068057
-219,50,-161,24,world,7066952
-226,51,-152,24,world,7067033
-237,54,-149,24,world,7067621
-224,51,-139,24,world,7067446
-227,62,-147,24,world,7067752
-239,62,-145,24,world,7067706
-217,61,-137,24,world,7068045
-197,79,-87,24,world,7068594
-203,64,-106,24,world,7068414
-223,62,-121,24,world,7069143
-192,73,-99,24,world,7068921
-224,49,-126,24,world,7069214
-216,61,-126,24,world,7068253
-200,65,-100,24,world,7068437
-214,61,-122,24,world,7068272
-200,83,-87,24,world,7068757
-192,84,-92,24,world,7068895
-216,62,-121,24,world,7069109
-195,84,-92,24,world,7068881
-212,62,-116,24,world,7069063
-76,67,-15,24,world,7070327
-241,52,-116,24,world,7069957
-80,66,-20,24,world,7070347
-236,53,-115,24,world,7069912
-230,52,-134,24,world,7069610
-79,66,1,24,world,7070270
-230,55,-114,24,world,7069870
-81,67,-22,24,world,7070354
-140,64,-39,24,world,7070750
-123,63,-32,24,world,7070680
-150,63,-44,24,world,7070785
-168,63,-84,24,world,7070933
-158,63,-63,24,world,7070848
-170,63,-87,24,world,7070961
-123,62,-32,24,world,7070683
-107,63,-29,24,world,7070594
-192,60,-104,24,world,7071065
-204,62,-117,24,world,7071158
-220,62,-124,24,world,7071281
-230,62,-136,24,world,7071418
-209,62,-118,24,world,7071205
-239,62,-142,24,world,7071810
-240,62,-133,24,world,7071924
-237,62,-134,24,world,7071887
-244,62,-121,24,world,7072026
-231,62,-120,24,world,7080391
-231,62,-116,24,world,7080351
-231,62,-159,24,world,7080706
-243,62,-131,24,world,7071969
-232,62,-116,24,world,7080347
-227,62,-143,24,world,7080590
-217,62,-160,24,world,7080806
-218,62,-147,24,world,7081022
-221,62,-131,24,world,7081108
-222,62,-118,24,world,7081285
-201,64,-104,24,world,7081428
-220,62,-128,24,world,7081124
-200,68,-88,24,world,7081482
-197,83,-87,24,world,7081617
-200,68,-89,24,world,7081478
-205,82,-90,24,world,7082728
-185,84,-90,24,world,7082332
-203,82,-90,24,world,7082664
-197,84,-88,24,world,7082263
-204,82,-90,24,world,7082680
-187,82,-90,24,world,7083057
-193,85,-88,24,world,7082275
-201,82,-90,24,world,7082595
-195,82,-90,24,world,7083248
-204,82,-90,24,world,7084133
-197,82,-90,24,world,7084245
-199,82,-90,24,world,7083969
-191,82,-90,24,world,7084374
-193,82,-90,24,world,7084649
-200,82,-90,24,world,7085044
-192,82,-90,24,world,7085245
-192,82,-90,24,world,7084633
-186,82,-90,24,world,7084528
-201,82,-90,24,world,7084857
-189,82,-90,24,world,7085404
-199,82,-90,24,world,7085116
-190,82,-90,24,world,7085833
-204,82,-90,24,world,7086170
-194,82,-90,24,world,7086484
-200,82,-90,24,world,7086654
-201,82,-90,24,world,7086454
-201,82,-90,24,world,7086977
-195,82,-90,24,world,7087105
-191,82,-90,24,world,7087331
-191,82,-90,24,world,7086852
-206,82,-90,24,world,7087397
-200,82,-90,24,world,7087586
-192,82,-90,24,world,7087258
-189,82,-90,24,world,7086774
-205,82,-90,24,world,7087167
-196,82,-90,24,world,7087904
-198,82,-90,24,world,7087673
-202,82,-90,24,world,7087876
-203,82,-90,24,world,7087651
-192,82,-90,24,world,7087782
-195,82,-90,24,world,7088025
-198,82,-90,24,world,7088278
-195,82,-90,24,world,7088239
-195,82,-90,24,world,7088613
-191,82,-90,24,world,7088915
