block,x,y,z,player,worldName,time
END_STONE,97,49,0,1,world_the_end,11365790
COBBLESTONE,264,2,-1,1,world_the_end,11477813
CHEST,262,1,0,1,world_the_end,11481524
COBBLESTONE_SLAB,263,0,0,1,world_the_end,11483247
END_STONE,94,52,1,1,world_the_end,11485716
COBBLESTONE,102,39,1,1,world_the_end,11503693
COBBLESTONE,102,19,1,1,world_the_end,11504013
COBBLESTONE,265,5,-2,1,world_the_end,11505399
COBBLESTONE_SLAB,256,0,-2,1,world_the_end,11514206
NETHERRACK,258,4,0,1,world_the_end,11523579
ANDESITE,252,6,-1,1,world_the_end,11529104
COBBLESTONE_SLAB,265,3,-1,1,world_the_end,11540463
ANDESITE,254,5,-1,1,world_the_end,11544280
JUNGLE_PLANKS,261,12,1,1,world_the_end,11567047
COBBLESTONE_SLAB,263,7,0,1,world_the_end,11568034
OBSIDIAN,98,47,-3,1,world_the_end,11604608
ANDESITE,263,12,0,1,world_the_end,11613346
CRAFTING_TABLE,260,1,1,1,world_the_end,11617795
NETHERRACK,233,0,0,1,world_the_end,11632033
NETHERRACK,240,0,0,1,world_the_end,11632466
DIRT,236,0,0,1,world_the_end,12523017
DIRT,231,0,0,1,world_the_end,12524122
DIRT,225,1,-1,1,world_the_end,12524445
DIRT,219,1,1,1,world_the_end,12524851
COBBLESTONE_SLAB,104,0,0,1,world_the_end,12538720
COBBLESTONE,103,8,-1,1,world_the_end,12540245
COBBLESTONE,103,26,-1,1,world_the_end,12541493
KELP_PLANT,105,1,1,1,world_the_end,12544229
COBBLESTONE,258,1,-2,1,world_the_end,13384516
WALL_TORCH,257,0,-4,1,world_the_end,13402177
WALL_TORCH,259,0,-4,1,world_the_end,13411688
TORCH,257,1,-4,1,world_the_end,14495844
STONECUTTER,104,49,-2,1,world_the_end,14530791
