block,x,y,z,player,worldName,time
COBBLESTONE,101,28,1,1,world_the_end,11388505
COBBLESTONE,101,6,1,1,world_the_end,11388857
COBBLESTONE_SLAB,108,0,0,1,world_the_end,11389686
COBBLESTONE_SLAB,127,0,0,1,world_the_end,11390238
COBBLESTONE_SLAB,147,0,0,1,world_the_end,11390478
COBBLESTONE_SLAB,167,0,0,1,world_the_end,11390752
COBBLESTONE_SLAB,187,0,0,1,world_the_end,11391314
COBBLESTONE_SLAB,207,0,0,1,world_the_end,11391554
COBBLESTONE_SLAB,227,0,0,1,world_the_end,11392007
COBBLESTONE_SLAB,246,0,0,1,world_the_end,11392527
COBBLESTONE_SLAB,109,0,0,1,world_the_end,11394881
COBBLESTONE_SLAB,119,0,0,1,world_the_end,11395045
COBBLESTONE_SLAB,128,0,0,1,world_the_end,11395257
COBBLESTONE_SLAB,139,0,0,1,world_the_end,11395406
COBBLESTONE_SLAB,149,0,0,1,world_the_end,11395571
COBBLESTONE_SLAB,158,0,0,1,world_the_end,11395914
COBBLESTONE_SLAB,168,0,0,1,world_the_end,11396078
COBBLESTONE_SLAB,178,0,0,1,world_the_end,11396418
COBBLESTONE_SLAB,188,0,0,1,world_the_end,11396613
COBBLESTONE_SLAB,197,0,0,1,world_the_end,11396802
COBBLESTONE_SLAB,209,0,0,1,world_the_end,11397003
COBBLESTONE_SLAB,217,0,0,1,world_the_end,11397144
COBBLESTONE_SLAB,226,0,0,1,world_the_end,11397578
COBBLESTONE_SLAB,238,0,0,1,world_the_end,11397789
COBBLESTONE_SLAB,248,0,0,1,world_the_end,11397974
COBBLESTONE_SLAB,256,0,0,1,world_the_end,11398212
COBBLESTONE_SLAB,263,0,-1,1,world_the_end,11474613
CHEST,261,0,1,1,world_the_end,11475582
HOPPER,267,0,0,1,world_the_end,11476119
COBBLESTONE,266,3,0,1,world_the_end,11477149
COBBLESTONE_SLAB,263,1,0,1,world_the_end,11477685
COBBLESTONE_SLAB,267,0,4,1,world_the_end,11478515
COBBLESTONE_SLAB,269,0,0,1,world_the_end,11478923
COBBLESTONE_STAIRS,271,0,-2,1,world_the_end,11479431
COBBLESTONE_SLAB,272,1,0,1,world_the_end,11480699
COBBLESTONE_STAIRS,265,0,3,1,world_the_end,11482221
COBBLESTONE_STAIRS,94,51,0,1,world_the_end,11485635
COBBLESTONE_SLAB,263,4,-2,1,world_the_end,11505449
COBBLESTONE_SLAB,282,1,-1,1,world_the_end,11506884
COBBLESTONE_SLAB,285,1,1,1,world_the_end,11507172
COBBLESTONE_SLAB,292,1,6,1,world_the_end,11508109
COBBLESTONE_SLAB,291,1,0,1,world_the_end,11508843
COBBLESTONE_SLAB,292,1,-4,1,world_the_end,11509010
COBBLESTONE_SLAB,289,1,5,1,world_the_end,11509268
COBBLESTONE_SLAB,259,0,0,1,world_the_end,11510251
COBBLESTONE_SLAB,261,1,-1,1,world_the_end,11510754
COBBLESTONE_SLAB,259,1,-1,1,world_the_end,11511488
COBBLESTONE_SLAB,257,0,-2,1,world_the_end,11512170
COBBLESTONE_SLAB,259,0,5,1,world_the_end,11513242
COBBLESTONE_SLAB,262,0,3,1,world_the_end,11513686
COBBLESTONE_SLAB,256,0,-3,1,world_the_end,11514121
COBBLESTONE,261,0,-3,1,world_the_end,11514530
COBBLESTONE,257,0,-2,1,world_the_end,11514904
COBBLESTONE_SLAB,264,0,3,1,world_the_end,11515361
COBBLESTONE,257,0,-4,1,world_the_end,11515930
COBBLESTONE_SLAB,257,0,2,1,world_the_end,11516387
COBBLESTONE_SLAB,263,0,4,1,world_the_end,11516643
COBBLESTONE_SLAB,258,1,-2,1,world_the_end,11517259
COBBLESTONE_SLAB,258,0,-4,1,world_the_end,11517850
COBBLESTONE_SLAB,257,4,-3,1,world_the_end,11518324
COBBLESTONE_SLAB,257,4,3,1,world_the_end,11518700
COBBLESTONE_SLAB,266,6,2,1,world_the_end,11519300
COBBLESTONE_SLAB,266,6,2,1,world_the_end,11519827
COBBLESTONE_SLAB,248,1,-1,1,world_the_end,11521092
COBBLESTONE_SLAB,240,0,0,1,world_the_end,11521235
ANDESITE,263,4,-1,1,world_the_end,11524107
ANDESITE,253,5,1,1,world_the_end,11528520
ANDESITE,238,1,-1,1,world_the_end,11531391
END_STONE,52,63,-1,1,world_the_end,11533220
ANDESITE,262,11,-1,1,world_the_end,11541616
COBBLESTONE,265,7,-3,1,world_the_end,11543834
JUNGLE_LEAVES,283,1,-2,1,world_the_end,11569492
JUNGLE_LEAVES,290,1,-9,1,world_the_end,11569673
JUNGLE_LEAVES,296,1,2,1,world_the_end,11570100
JUNGLE_LEAVES,287,1,8,1,world_the_end,11570360
WHITE_CARPET,264,9,-2,1,world_the_end,11579274
IRON_BARS,264,6,0,1,world_the_end,11579759
WHITE_CARPET,261,8,1,1,world_the_end,11580228
ANDESITE,261,11,0,1,world_the_end,11581232
NETHERRACK,262,11,-1,1,world_the_end,11610196
COBBLESTONE_SLAB,237,1,0,1,world_the_end,11618708
JUNGLE_TRAPDOOR,266,5,0,1,world_the_end,11626330
NETHERRACK,237,0,0,1,world_the_end,11631183
COBBLESTONE_SLAB,232,0,0,1,world_the_end,12517747
COBBLESTONE_SLAB,231,0,0,1,world_the_end,12522018
COBBLESTONE_SLAB,223,0,0,1,world_the_end,12522197
COBBLESTONE_SLAB,218,0,0,1,world_the_end,12522357
COBBLESTONE_SLAB,211,0,0,1,world_the_end,12522554
DIRT,229,0,0,1,world_the_end,12522919
DIRT,221,0,0,1,world_the_end,12523157
DIRT,211,0,0,1,world_the_end,12523280
DIRT,233,0,0,1,world_the_end,12523387
COBBLESTONE,103,14,-1,1,world_the_end,12526155
COBBLESTONE,103,34,-1,1,world_the_end,12526357
COBBLESTONE,106,0,0,1,world_the_end,12539168
COBBLESTONE,104,7,-1,1,world_the_end,12539682
COBBLESTONE,104,11,0,1,world_the_end,12540374
COBBLESTONE,104,15,-1,1,world_the_end,12540772
COBBLESTONE,104,20,0,1,world_the_end,12541021
COBBLESTONE,104,26,0,1,world_the_end,12541411
COBBLESTONE,104,30,-1,1,world_the_end,12541733
COBBLESTONE,104,35,0,1,world_the_end,12541949
COBBLESTONE,104,41,0,1,world_the_end,12542255
COBBLESTONE,103,45,0,1,world_the_end,12542520
COBBLESTONE,103,49,0,1,world_the_end,12542684
KELP,104,4,0,1,world_the_end,12543528
KELP,104,24,0,1,world_the_end,12543640
KELP,104,44,0,1,world_the_end,12543756
COBBLESTONE,106,3,1,1,world_the_end,12545283
COBBLESTONE,107,9,0,1,world_the_end,12545592
COBBLESTONE,106,17,1,1,world_the_end,12545738
COBBLESTONE,106,22,0,1,world_the_end,12545945
COBBLESTONE,107,28,0,1,world_the_end,13344298
COBBLESTONE,107,36,0,1,world_the_end,13344459
COBBLESTONE,106,43,0,1,world_the_end,13344614
COBBLESTONE,106,49,0,1,world_the_end,13344740
BOOKSHELF,259,1,-2,1,world_the_end,13346142
BOOKSHELF,259,1,-1,1,world_the_end,13397963
TORCH,259,1,-1,1,world_the_end,13409729
COBBLESTONE_SLAB,257,1,-4,1,world_the_end,14484983
TORCH,258,1,-2,1,world_the_end,14502382
COBBLESTONE,107,49,-2,1,world_the_end,14529787
COBBLESTONE_SLAB,102,49,-2,1,world_the_end,14530326
