block,x,y,z,player,worldName,time
COBBLESTONE,160,87,3,0,world_nether,2701990
COBBLESTONE,177,85,8,0,world_nether,2704260
COBBLESTONE,175,85,11,0,world_nether,2704661
COBBLESTONE,177,70,5,0,world_nether,2706141
COBBLESTONE,172,84,10,0,world_nether,2707288
COBBLESTONE,149,81,7,0,world_nether,2709263
COBBLESTONE,148,76,8,0,world_nether,2711653
COBBLESTONE,185,85,9,0,world_nether,2715093
COBBLESTONE,185,86,8,0,world_nether,2715059
COBBLESTONE,188,83,9,0,world_nether,2715592
STONE,202,76,8,0,world_nether,2722752
COBBLESTONE,193,90,4,0,world_nether,2725591
COBBLESTONE,140,89,-41,0,world_nether,3624734
COBBLESTONE,138,63,-187,0,world_nether,3628119
COBBLESTONE,138,63,-235,0,world_nether,3629196
COBBLESTONE,138,63,-235,0,world_nether,3629209
COBBLESTONE,140,63,-269,0,world_nether,3629740
COBBLESTONE,113,49,-351,0,world_nether,3630270
COBBLESTONE,128,57,-405,0,world_nether,3631615
COBBLESTONE,127,55,-453,0,world_nether,3632858
COBBLESTONE,128,60,-433,0,world_nether,3632375
COBBLESTONE,121,49,-469,0,world_nether,3633502
COBBLESTONE,114,58,-588,0,world_nether,3634590
COBBLESTONE,114,63,-616,0,world_nether,3634895
COBBLESTONE,135,83,-716,0,world_nether,3636713
COBBLESTONE,145,85,-716,0,world_nether,3636883
COBBLESTONE,237,66,-716,0,world_nether,3637971
COBBLESTONE,236,66,-715,0,world_nether,3637936
NETHERRACK,300,74,-659,0,world_nether,3640319
COBBLESTONE,296,70,-620,0,world_nether,3640934
NETHERRACK,300,74,-655,0,world_nether,3640367
NETHERRACK,300,74,-626,0,world_nether,3640798
NETHERRACK,299,66,-589,0,world_nether,3641543
COBBLESTONE,213,57,-423,0,world_nether,3643271
NETHERRACK,112,104,5,0,world_nether,3646980
NETHERRACK,110,102,0,0,world_nether,3647311
NETHERRACK,111,103,-3,0,world_nether,3647342
NETHERRACK,172,46,159,0,world_nether,3649804
NETHERRACK,172,37,202,0,world_nether,3651864
NETHERRACK,172,42,196,0,world_nether,3652061
NETHERRACK,172,43,195,0,world_nether,3652207
COBBLESTONE,95,50,225,0,world_nether,3655508
NETHERRACK,2,44,203,0,world_nether,3656543
NETHERRACK,-23,57,167,0,world_nether,3660429
NETHERRACK,-64,57,155,0,world_nether,3660793
NETHERRACK,-18,57,210,0,world_nether,3663886
NETHERRACK,-79,57,169,0,world_nether,3667211
COBBLESTONE,-119,57,169,0,world_nether,3668504
COBBLESTONE,-101,57,201,0,world_nether,3668991
NETHER_BRICKS,-65,64,155,0,world_nether,3671443
NETHER_BRICKS,-65,57,198,0,world_nether,3676412
NETHERRACK,173,65,148,0,world_nether,3681176
GRANITE,151,30,-22,0,world_nether,3728276
NETHERRACK,82,9,-28,0,world_nether,3731491
BLACKSTONE,53,9,-28,0,world_nether,3733456
NETHERRACK,146,32,-27,0,world_nether,3734465
COBBLESTONE,281,40,310,0,world_nether,3749944
NETHERRACK,408,41,450,0,world_nether,3751530
NETHERRACK,413,41,455,0,world_nether,3751699
NETHERRACK,421,41,463,0,world_nether,3751897
NETHERRACK,424,41,466,0,world_nether,3752075
COBBLESTONE,505,57,696,0,world_nether,3754231
NETHERRACK,531,56,729,0,world_nether,3754934
NETHERRACK,563,43,726,0,world_nether,3756348
NETHERRACK,564,43,727,0,world_nether,3756372
NETHERRACK,585,43,748,0,world_nether,3756969
NETHERRACK,588,43,751,0,world_nether,3757038
NETHERRACK,603,44,760,0,world_nether,3758376
NETHERRACK,618,39,759,0,world_nether,3759005
NETHERRACK,646,43,770,0,world_nether,3759461
COBBLESTONE,677,58,816,0,world_nether,3760142
NETHERRACK,678,53,836,0,world_nether,3760483
COBBLESTONE,676,69,874,0,world_nether,3761573
NETHERRACK,652,74,900,0,world_nether,3762312
NETHERRACK,589,72,929,0,world_nether,3763938
NETHERRACK,590,70,945,0,world_nether,3764156
NETHERRACK,590,70,948,0,world_nether,3764192
COBBLESTONE,619,62,978,0,world_nether,3765322
NETHERRACK,632,48,992,0,world_nether,3766180
COBBLESTONE,651,47,998,0,world_nether,3766846
CRIMSON_PLANKS,734,71,977,0,world_nether,3768833
CRIMSON_PLANKS,803,90,984,0,world_nether,3770258
CRIMSON_PLANKS,832,69,982,0,world_nether,3770994
GRANITE,853,68,976,0,world_nether,3771722
COBBLESTONE,889,58,954,0,world_nether,3772611
COBBLESTONE,621,53,990,0,world_nether,3792755
COBBLESTONE,636,55,1056,0,world_nether,3796844
COBBLESTONE,610,53,996,0,world_nether,3801469
COBBLESTONE,588,48,970,0,world_nether,3802985
COBBLESTONE,567,49,953,0,world_nether,3803412
COBBLESTONE,539,50,918,0,world_nether,3804345
COBBLESTONE,412,38,798,0,world_nether,3806130
COBBLESTONE,409,35,769,0,world_nether,3806942
COBBLESTONE,406,35,751,0,world_nether,3807692
COBBLESTONE,330,40,696,0,world_nether,3808370
COBBLESTONE,305,53,695,0,world_nether,3809150
