x,y,z,player,worldName,time
-203,69,-78,13,world,6998975
-240,53,-137,13,world,7070219
-196,68,-87,13,world,7110987
-196,68,-87,13,world,9860982
-194,66,-93,13,world,10095949
-168,62,-72,13,world,10220241
-166,63,-94,13,world,10221138
-166,63,-95,13,world,10221577
-3,61,113,13,world,10841990
2,67,-24,13,world,10868420
-199,71,-62,13,world,11996047
-2488,26,597,13,world,17659209
-2515,64,594,13,world,17963270
-2511,64,618,13,world,17964990
-2511,64,617,13,world,17965108
-2546,80,483,13,world,19863546
-2434,63,463,13,world,21530710
-2427,70,450,13,world,21574671
-2438,70,450,13,world,21698000
